cohort,site,siteState,family,roleOrKind,slug,titleOrQuery,url,clicks,impressions,ctr,position,band,decision,immediateContentMutation,earliestActionDate,reason
ranking118,smarthome,recovery,,product,aqara-door-and-window-sensor-p2,Does the Aqara Door and Window Sensor P2 require an Aqara hub?,https://smarthome.madabase.com/reviews/aqara-door-and-window-sensor-p2,0,23,0%,7.35,top-10,protect-ranking-review-ctr,hold,rollout-complete-plus-3-days,The URL ranks in the top ten; preserve the intent and review CTR only after rollout data stabilizes.
ranking118,network,recovery,,product,asus-zenwifi-bt6-wifi-7-mesh,Does ASUS ZenWiFi BT6 provide 2.5GbE for both WAN and Ethernet backhaul?,https://network.madabase.com/reviews/asus-zenwifi-bt6-wifi-7-mesh,0,33,0%,16.09,position-11-20,strengthen-supporting-evidence,hold,rollout-complete-plus-3-days,The established page is on page two and is a focused supporting-evidence candidate after the update.
ranking118,smarthome,recovery,,product,aqara-hub-m3,Is Aqara Hub M3 worth upgrading to from M2?,https://smarthome.madabase.com/reviews/aqara-hub-m3,0,20,0%,29.85,position-21-40,query-intent-review,hold,rollout-complete-plus-3-days,The page has measurable discovery but needs exact query-to-page fit evidence before a focused rewrite.
ranking118,pet,recovery,,product,petlibro-granary-automatic-cat-feeder,Which PETLIBRO Granary size and portion setting should you choose?,https://pets.madabase.com/reviews/petlibro-granary-automatic-cat-feeder,0,27,0%,16.11,position-11-20,strengthen-supporting-evidence,hold,rollout-complete-plus-3-days,The established page is on page two and is a focused supporting-evidence candidate after the update.
ranking118,smarthome,recovery,,product,eufy-video-doorbell-e340,Can eufy E340 work without a subscription?,https://smarthome.madabase.com/reviews/eufy-video-doorbell-e340,0,11,0%,26.64,position-21-40,query-intent-review,hold,rollout-complete-plus-3-days,The page has measurable discovery but needs exact query-to-page fit evidence before a focused rewrite.
ranking118,smarthome,recovery,,guide,aqara-hub-m3-matter-thread-setup,How should Aqara Hub M3 be set up for Matter and Thread?,https://smarthome.madabase.com/guides/aqara-hub-m3-matter-thread-setup,0,3,0%,9.33,top-10,protect-ranking-review-ctr,hold,rollout-complete-plus-3-days,The URL ranks in the top ten; preserve the intent and review CTR only after rollout data stabilizes.
ranking118,smarthome,recovery,,guide,aqara-hub-m3-vs-m2,What is the practical difference between Aqara Hub M3 and M2?,https://smarthome.madabase.com/guides/aqara-hub-m3-vs-m2,0,20,0%,8.2,top-10,protect-ranking-review-ctr,hold,rollout-complete-plus-3-days,The URL ranks in the top ten; preserve the intent and review CTR only after rollout data stabilizes.
ranking118,baby,protect,,guide,ergobaby-omni-breeze-cleaning-guide,How do you wash and dry an Ergobaby Omni Breeze?,https://baby.madabase.com/guides/ergobaby-omni-breeze-cleaning-guide,0,5,0%,9.2,top-10,protect-ranking-review-ctr,hold,rollout-complete-plus-3-days,The URL ranks in the top ten; preserve the intent and review CTR only after rollout data stabilizes.
ranking118,baby,protect,,guide,ergobaby-omni-breeze-newborn-fit-checklist,How can you check newborn fit in an Ergobaby Omni Breeze?,https://baby.madabase.com/guides/ergobaby-omni-breeze-newborn-fit-checklist,0,8,0%,8.88,top-10,protect-ranking-review-ctr,hold,rollout-complete-plus-3-days,The URL ranks in the top ten; preserve the intent and review CTR only after rollout data stabilizes.
ranking118,homeoffice,protect,,product,ergear-48x24-electric-standing-desk,Is a 48×24 ErGear standing desk large enough for a small office?,https://homeoffice.madabase.com/reviews/ergear-48x24-electric-standing-desk,0,10,0%,16.6,position-11-20,strengthen-supporting-evidence,hold,rollout-complete-plus-3-days,The established page is on page two and is a focused supporting-evidence candidate after the update.
ranking118,pet,recovery,,roundup,levoit-vital-200s-p-vs-shark-neverchange-max,Levoit Vital 200S-P or Shark NeverChange MAX for pets?,https://pets.madabase.com/best/levoit-vital-200s-p-vs-shark-neverchange-max,0,10,0%,11.9,position-11-20,strengthen-supporting-evidence,hold,rollout-complete-plus-3-days,The established page is on page two and is a focused supporting-evidence candidate after the update.
ranking118,pet,recovery,,product,petlibro-one-rfid-smart-feeder,Is PETLIBRO One RFID suitable for a multi-cat home?,https://pets.madabase.com/reviews/petlibro-one-rfid-smart-feeder,0,22,0%,17.05,position-11-20,strengthen-supporting-evidence,hold,rollout-complete-plus-3-days,The established page is on page two and is a focused supporting-evidence candidate after the update.
ranking118,network,recovery,,guide,deco-mesh-connection-drops-troubleshooting,How do you troubleshoot repeated Deco mesh connection drops?,https://network.madabase.com/guides/deco-mesh-connection-drops-troubleshooting,0,33,0%,20.94,position-21-40,query-intent-review,hold,rollout-complete-plus-3-days,The page has measurable discovery but needs exact query-to-page fit evidence before a focused rewrite.
ranking118,pet,recovery,,guide,air-purifier-placement-near-litter-box,Where should an air purifier be placed near a litter box?,https://pets.madabase.com/guides/air-purifier-placement-near-litter-box,0,23,0%,14.78,position-11-20,strengthen-supporting-evidence,hold,rollout-complete-plus-3-days,The established page is on page two and is a focused supporting-evidence candidate after the update.
ranking118,homeoffice,protect,,product,ergotron-hx-monitor-arm,Is Ergotron HX the right monitor arm for a walking desk?,https://homeoffice.madabase.com/reviews/ergotron-hx-monitor-arm,0,17,0%,24,position-21-40,query-intent-review,hold,rollout-complete-plus-3-days,The page has measurable discovery but needs exact query-to-page fit evidence before a focused rewrite.
ranking118,smarthome,recovery,,roundup,ultraloq-bolt-se-vs-aqara-u400,ULTRALOQ Bolt SE or Aqara U400: which smart lock fits the door and ecosystem?,https://smarthome.madabase.com/best/ultraloq-bolt-se-vs-aqara-u400,0,8,0%,7.12,top-10,protect-ranking-review-ctr,hold,rollout-complete-plus-3-days,The URL ranks in the top ten; preserve the intent and review CTR only after rollout data stabilizes.
ranking118,baby,protect,,guide,ergobaby-omni-breeze-forward-facing-age-guide,When can a baby face outward in Ergobaby Omni Breeze?,https://baby.madabase.com/guides/ergobaby-omni-breeze-forward-facing-age-guide,0,25,0%,10.48,position-11-20,strengthen-supporting-evidence,hold,rollout-complete-plus-3-days,The established page is on page two and is a focused supporting-evidence candidate after the update.
ranking118,smarthome,recovery,,roundup,eufy-e340-vs-tapo-d210,eufy E340 or Tapo D210 for local video storage?,https://smarthome.madabase.com/best/eufy-e340-vs-tapo-d210,1,18,5.56%,7.94,top-10,protect-click-bearing-intent,hold,now-protection-only,The exact URL earned at least one click in the complete cohort window; avoid title or canonical churn during the update.
ranking118,baby,protect,,product,dr-browns-all-in-one-sterilizer-dryer,"How much fits in Dr. Brown's sterilizer dryer, and does it dry fully?",https://baby.madabase.com/reviews/dr-browns-all-in-one-sterilizer-dryer,0,18,0%,25.56,position-21-40,query-intent-review,hold,rollout-complete-plus-3-days,The page has measurable discovery but needs exact query-to-page fit evidence before a focused rewrite.
ranking118,homeoffice,protect,,roundup,best-walking-pad-and-monitor-arm-setup,What monitor-arm setup stays stable with a walking pad?,https://homeoffice.madabase.com/best/best-walking-pad-and-monitor-arm-setup,0,1,0%,9,top-10,protect-ranking-review-ctr,hold,rollout-complete-plus-3-days,The URL ranks in the top ten; preserve the intent and review CTR only after rollout data stabilizes.
ranking118,smarthome,recovery,,guide,tapo-p125m-vs-p110m,Tapo P110M or P125M: which one has energy monitoring and Matter?,https://smarthome.madabase.com/guides/tapo-p125m-vs-p110m,0,0,0%,,zero-impression,index-demand-and-canonical-review,hold,rollout-complete-plus-3-days,"The established page has no impressions; verify indexing, demand and competing canonical intent before changing it."
ranking118,pet,recovery,,guide,levoit-vital-200s-p-filter-cost-and-maintenance,What does a Levoit Vital 200S-P cost to maintain?,https://pets.madabase.com/guides/levoit-vital-200s-p-filter-cost-and-maintenance,0,5,0%,26.2,position-21-40,query-intent-review,hold,rollout-complete-plus-3-days,The page has measurable discovery but needs exact query-to-page fit evidence before a focused rewrite.
ranking118,pet,recovery,,guide,rfid-feeder-vs-microchip-feeder-guide,RFID collar feeder or implanted-microchip feeder?,https://pets.madabase.com/guides/rfid-feeder-vs-microchip-feeder-guide,0,3,0%,17.67,position-11-20,strengthen-supporting-evidence,hold,rollout-complete-plus-3-days,The established page is on page two and is a focused supporting-evidence candidate after the update.
ranking118,homeoffice,protect,,product,amazon-basics-monitor-arm,Will the Amazon Basics gas-spring arm fit a 27-inch monitor?,https://homeoffice.madabase.com/reviews/amazon-basics-monitor-arm,0,6,0%,40,position-21-40,query-intent-review,hold,rollout-complete-plus-3-days,The page has measurable discovery but needs exact query-to-page fit evidence before a focused rewrite.
ranking118,network,recovery,,guide,deco-be63-multigig-ports-guide,How should Deco BE63 multi-gig ports be assigned?,https://network.madabase.com/guides/deco-be63-multigig-ports-guide,0,15,0%,11.87,position-11-20,strengthen-supporting-evidence,hold,rollout-complete-plus-3-days,The established page is on page two and is a focused supporting-evidence candidate after the update.
ranking118,network,recovery,,guide,usb-c-ethernet-adapter-guide,Should you buy a USB-C Ethernet adapter or a full dock?,https://network.madabase.com/guides/usb-c-ethernet-adapter-guide,0,21,0%,11.05,position-11-20,strengthen-supporting-evidence,hold,rollout-complete-plus-3-days,The established page is on page two and is a focused supporting-evidence candidate after the update.
ranking118,homeoffice,protect,,guide,single-vs-dual-monitor-arm-walking-desk,Single or dual monitor arms for a walking desk?,https://homeoffice.madabase.com/guides/single-vs-dual-monitor-arm-walking-desk,0,0,0%,0,zero-impression,observe-index-and-demand,hold,2026-09-08,"The established page has no impressions; verify indexing, demand and competing canonical intent before changing it."
ranking118,homeoffice,protect,,guide,walking-pad-desk-measurement-checklist,What should you measure before adding a walking pad under a desk?,https://homeoffice.madabase.com/guides/walking-pad-desk-measurement-checklist,0,6,0%,39,position-21-40,query-intent-review,hold,rollout-complete-plus-3-days,The page has measurable discovery but needs exact query-to-page fit evidence before a focused rewrite.
ranking118,homeoffice,protect,,guide,walking-pad-speed-monitor-stability-guide,How fast can you walk without making the monitor shake?,https://homeoffice.madabase.com/guides/walking-pad-speed-monitor-stability-guide,1,4,25%,11.25,position-11-20,protect-click-bearing-intent,hold,now-protection-only,The exact URL earned at least one click in the complete cohort window; avoid title or canonical churn during the update.
ranking118,network,recovery,,guide,cable-modem-2-5g-port-buying-guide,When does a cable modem need a 2.5GbE port?,https://network.madabase.com/guides/cable-modem-2-5g-port-buying-guide,0,3,0%,7.33,top-10,protect-ranking-review-ctr,hold,rollout-complete-plus-3-days,The URL ranks in the top ten; preserve the intent and review CTR only after rollout data stabilizes.
ranking118,pet,recovery,,guide,furbo-360-placement-height-and-wifi-guide,Where should Furbo 360 be placed for reliable tracking and Wi-Fi?,https://pets.madabase.com/guides/furbo-360-placement-height-and-wifi-guide,0,8,0%,8.5,top-10,protect-ranking-review-ctr,hold,rollout-complete-plus-3-days,The URL ranks in the top ten; preserve the intent and review CTR only after rollout data stabilizes.
ranking118,network,recovery,,product,tp-link-tl-sg1005p-poe-switch,Can TP-Link TL-SG1005P power four PoE+ devices at the same time?,https://network.madabase.com/reviews/tp-link-tl-sg1005p-poe-switch,0,11,0%,8.55,top-10,protect-ranking-review-ctr,hold,rollout-complete-plus-3-days,The URL ranks in the top ten; preserve the intent and review CTR only after rollout data stabilizes.
ranking118,network,recovery,,product,tp-link-ue302c-2-5g-usb-c-ethernet-adapter,Will TP-Link UE302C actually deliver more than 1Gbps?,https://network.madabase.com/reviews/tp-link-ue302c-2-5g-usb-c-ethernet-adapter,0,0,0%,0,zero-impression,index-demand-and-canonical-review,hold,rollout-complete-plus-3-days,"The established page has no impressions; verify indexing, demand and competing canonical intent before changing it."
ranking118,network,recovery,,guide,xfinity-gateway-bridge-mode-vs-own-router-guide,Should you put an Xfinity gateway in bridge mode when adding your own router?,https://network.madabase.com/guides/xfinity-gateway-bridge-mode-vs-own-router-guide,0,22,0%,16.95,position-11-20,strengthen-supporting-evidence,hold,rollout-complete-plus-3-days,The established page is on page two and is a focused supporting-evidence candidate after the update.
ranking118,smarthome,recovery,,product,tapo-d210-video-doorbell,Does every Tapo D210 have the same battery capacity?,https://smarthome.madabase.com/reviews/tapo-d210-video-doorbell,0,17,0%,10.18,position-11-20,strengthen-supporting-evidence,hold,rollout-complete-plus-3-days,The established page is on page two and is a focused supporting-evidence candidate after the update.
ranking118,smarthome,recovery,,roundup,ring-battery-doorbell-plus-2nd-gen-vs-tapo-d210,Tapo D210 or Ring Battery Doorbell Plus: which is better without a subscription?,https://smarthome.madabase.com/best/ring-battery-doorbell-plus-2nd-gen-vs-tapo-d210,0,20,0%,7.8,top-10,protect-ranking-review-ctr,hold,rollout-complete-plus-3-days,The URL ranks in the top ten; preserve the intent and review CTR only after rollout data stabilizes.
ranking118,smarthome,recovery,,product,google-nest-learning-thermostat-4th-gen,"Does Nest Learning Thermostat 4th Gen need a C-wire, and does Matter guarantee HVAC compatibility?",https://smarthome.madabase.com/reviews/google-nest-learning-thermostat-4th-gen,0,28,0%,21.21,position-21-40,query-intent-review,hold,rollout-complete-plus-3-days,The page has measurable discovery but needs exact query-to-page fit evidence before a focused rewrite.
ranking118,smarthome,recovery,,product,ultraloq-bolt-se-smart-lock,Does ULTRALOQ Bolt SE include both Matter over Thread and Wi-Fi?,https://smarthome.madabase.com/reviews/ultraloq-bolt-se-smart-lock,1,22,4.55%,10.73,position-11-20,protect-click-bearing-intent,hold,now-protection-only,The exact URL earned at least one click in the complete cohort window; avoid title or canonical churn during the update.
ranking118,smarthome,recovery,,guide,tapo-p110m-home-assistant-energy-monitoring,How do you add Tapo P110M to Home Assistant and keep energy monitoring?,https://smarthome.madabase.com/guides/tapo-p110m-home-assistant-energy-monitoring,0,60,0%,14.37,position-11-20,strengthen-supporting-evidence,hold,rollout-complete-plus-3-days,The established page is on page two and is a focused supporting-evidence candidate after the update.
ranking118,smarthome,recovery,,product,tapo-p110m-energy-monitoring-smart-plug,Does Tapo P110M energy monitoring work through Matter in every smart-home app?,https://smarthome.madabase.com/reviews/tapo-p110m-energy-monitoring-smart-plug,0,9,0%,27.56,position-21-40,query-intent-review,hold,rollout-complete-plus-3-days,The page has measurable discovery but needs exact query-to-page fit evidence before a focused rewrite.
ranking118,smarthome,recovery,,product,x-sense-sws0a41-water-leak-detector-kit,"What is included in the X-Sense SWS0A41 kit, and who should buy it?",https://smarthome.madabase.com/reviews/x-sense-sws0a41-water-leak-detector-kit,0,6,0%,9.67,top-10,protect-ranking-review-ctr,hold,rollout-complete-plus-3-days,The URL ranks in the top ten; preserve the intent and review CTR only after rollout data stabilizes.
ranking118,homeoffice,protect,,product,flexispot-e7-mini-standing-desk,"What is the FlexiSpot E7 Mini, and is it big enough for one or two monitors?",https://homeoffice.madabase.com/reviews/flexispot-e7-mini-standing-desk,0,29,0%,11.62,position-11-20,strengthen-supporting-evidence,hold,rollout-complete-plus-3-days,The established page is on page two and is a focused supporting-evidence candidate after the update.
ranking118,homeoffice,protect,,roundup,ergear-48x24-vs-flexispot-e7-mini,ErGear 48×24 or FlexiSpot E7 Mini: which fits a small room better?,https://homeoffice.madabase.com/best/ergear-48x24-vs-flexispot-e7-mini,0,62,0%,9.65,top-10,protect-ranking-review-ctr,hold,rollout-complete-plus-3-days,The URL ranks in the top ten; preserve the intent and review CTR only after rollout data stabilizes.
ranking118,homeoffice,protect,,product,huanuo-titanlift-heavy-duty-monitor-arm,Can HUANUO TitanLift safely hold a 49-inch or 44 lb ultrawide?,https://homeoffice.madabase.com/reviews/huanuo-titanlift-heavy-duty-monitor-arm,0,8,0%,8.62,top-10,protect-ranking-review-ctr,hold,rollout-complete-plus-3-days,The URL ranks in the top ten; preserve the intent and review CTR only after rollout data stabilizes.
ranking118,homeoffice,protect,,guide,48-vs-55-inch-desk-guide,Should you buy a 48-inch or 55-inch desk for two monitors?,https://homeoffice.madabase.com/guides/48-vs-55-inch-desk-guide,1,10,10%,22.3,position-21-40,protect-click-bearing-intent,hold,now-protection-only,The exact URL earned at least one click in the complete cohort window; avoid title or canonical churn during the update.
ranking118,homeoffice,protect,,guide,monitor-arm-clamp-reinforcement-guide,Will a reinforcement plate make any desktop safe for a heavy monitor arm?,https://homeoffice.madabase.com/guides/monitor-arm-clamp-reinforcement-guide,0,5,0%,14.6,position-11-20,strengthen-supporting-evidence,hold,rollout-complete-plus-3-days,The established page is on page two and is a focused supporting-evidence candidate after the update.
ranking118,homeoffice,protect,,roundup,logitech-litra-glow-vs-elgato-key-light-neo,Logitech Litra Glow or Elgato Key Light Neo: which is better for close video calls?,https://homeoffice.madabase.com/best/logitech-litra-glow-vs-elgato-key-light-neo,2,38,5.26%,14.71,position-11-20,protect-click-bearing-intent,hold,now-protection-only,The exact URL earned at least one click in the complete cohort window; avoid title or canonical churn during the update.
ranking118,baby,protect,,product,momcozy-purehug-baby-carrier,"Is Momcozy PureHug suitable from birth, and which carry positions are documented?",https://baby.madabase.com/reviews/momcozy-purehug-baby-carrier,0,38,0%,8.92,top-10,protect-ranking-review-ctr,hold,rollout-complete-plus-3-days,The URL ranks in the top ten; preserve the intent and review CTR only after rollout data stabilizes.
ranking118,baby,protect,,product,babybjorn-carrier-mini-3d-mesh,"How long is BabyBjörn Carrier Mini useful, and can it be used for back carry?",https://baby.madabase.com/reviews/babybjorn-carrier-mini-3d-mesh,0,10,0%,14.1,position-11-20,strengthen-supporting-evidence,hold,rollout-complete-plus-3-days,The established page is on page two and is a focused supporting-evidence candidate after the update.
ranking118,baby,protect,,guide,babybjorn-harmony-newborn-fit-checklist,Can a newborn use BabyBjörn Carrier Harmony safely?,https://baby.madabase.com/guides/babybjorn-harmony-newborn-fit-checklist,0,6,0%,8.33,top-10,protect-ranking-review-ctr,hold,rollout-complete-plus-3-days,The URL ranks in the top ten; preserve the intent and review CTR only after rollout data stabilizes.
ranking118,baby,protect,,roundup,momcozy-purehug-vs-ergobaby-omni-breeze,Is Ergobaby Omni Breeze worth paying more for than Momcozy PureHug?,https://baby.madabase.com/best/momcozy-purehug-vs-ergobaby-omni-breeze,0,8,0%,7.5,top-10,protect-ranking-review-ctr,hold,rollout-complete-plus-3-days,The URL ranks in the top ten; preserve the intent and review CTR only after rollout data stabilizes.
ranking118,baby,protect,,guide,ergobaby-omni-breeze-vs-babybjorn-harmony-by-age,Ergobaby Omni Breeze or BabyBjörn Harmony: which carrier fits each stage better?,https://baby.madabase.com/guides/ergobaby-omni-breeze-vs-babybjorn-harmony-by-age,0,0,0%,0,zero-impression,observe-index-and-demand,hold,2026-09-08,"The established page has no impressions; verify indexing, demand and competing canonical intent before changing it."
ranking118,pet,recovery,,product,levoit-vital-200s-p-air-purifier,What room size is the Levoit Vital 200S-P suitable for in a pet home?,https://pets.madabase.com/reviews/levoit-vital-200s-p-air-purifier,0,27,0%,11.56,position-11-20,strengthen-supporting-evidence,hold,rollout-complete-plus-3-days,The established page is on page two and is a focused supporting-evidence candidate after the update.
ranking118,pet,recovery,,roundup,petlibro-one-rfid-vs-granary-smart-feeder,PETLIBRO One RFID or Granary PLAF103: which feeder should a multi-cat home buy?,https://pets.madabase.com/best/petlibro-one-rfid-vs-granary-smart-feeder,1,10,10%,12.7,position-11-20,protect-click-bearing-intent,hold,now-protection-only,The exact URL earned at least one click in the complete cohort window; avoid title or canonical churn during the update.
ranking118,pet,recovery,,guide,automatic-feeder-buying-guide,What should you check before buying an automatic dry-food pet feeder?,https://pets.madabase.com/guides/automatic-feeder-buying-guide,0,1,0%,77,position-40-plus,retarget-or-merge-review,hold,rollout-complete-plus-3-days,The established page is visible only at deep positions; evaluate demand and overlap before retargeting or merging.
ranking118,pet,recovery,,guide,automatic-feeder-cleaning-checklist,Which automatic feeder parts can be washed without damaging the motor or RFID reader?,https://pets.madabase.com/guides/automatic-feeder-cleaning-checklist,0,0,0%,0,zero-impression,index-demand-and-canonical-review,hold,rollout-complete-plus-3-days,"The established page has no impressions; verify indexing, demand and competing canonical intent before changing it."
ranking118,pet,recovery,,guide,automatic-feeder-portion-size-guide,How many grams is one PETLIBRO automatic feeder portion?,https://pets.madabase.com/guides/automatic-feeder-portion-size-guide,0,0,0%,,zero-impression,index-demand-and-canonical-review,hold,rollout-complete-plus-3-days,"The established page has no impressions; verify indexing, demand and competing canonical intent before changing it."
ranking118,pet,recovery,,product,coway-airmega-mighty2-air-purifier,What are the Coway Mighty2 AP-1512N CADR and room-size ratings?,https://pets.madabase.com/reviews/coway-airmega-mighty2-air-purifier,0,14,0%,26.21,position-21-40,query-intent-review,hold,rollout-complete-plus-3-days,The page has measurable discovery but needs exact query-to-page fit evidence before a focused rewrite.
ranking118,style,maintenance,,product,loungefly-mickey-mouse-mini-backpack,What fits in a Loungefly Mickey Mouse mini backpack?,https://style.madabase.com/reviews/loungefly-mickey-mouse-mini-backpack,0,1,0%,3,top-10,observe-low-sample,hold,2026-09-08,The site does not yet have enough search volume to justify rollout-period content changes; decide from the Day-30 cohort gate.
ranking118,baby,protect,,guide,bottle-sterilizer-dryer-for-twins-capacity-guide,What sterilizer-dryer capacity is practical for twins?,https://baby.madabase.com/guides/bottle-sterilizer-dryer-for-twins-capacity-guide,0,0,0%,,zero-impression,observe-index-and-demand,hold,2026-09-08,"The established page has no impressions; verify indexing, demand and competing canonical intent before changing it."
ranking118,network,recovery,,roundup,deco-be25-vs-be67,Deco BE25 or BE67 for a Wi-Fi 7 mesh?,https://network.madabase.com/best/deco-be25-vs-be67,0,4,0%,10.75,position-11-20,strengthen-supporting-evidence,hold,rollout-complete-plus-3-days,The established page is on page two and is a focused supporting-evidence candidate after the update.
ranking118,pet,recovery,,guide,cat-water-fountain-buying-guide,How do you choose a cat water fountain?,https://pets.madabase.com/guides/cat-water-fountain-buying-guide,0,4,0%,75.5,position-40-plus,retarget-or-merge-review,hold,rollout-complete-plus-3-days,The established page is visible only at deep positions; evaluate demand and overlap before retargeting or merging.
ranking118,style,maintenance,,product,betsey-johnson-cupcake-mismatch-earrings,Are Betsey Johnson cupcake mismatch earrings comfortable for repeat wear?,https://style.madabase.com/reviews/betsey-johnson-cupcake-mismatch-earrings,0,0,0%,,zero-impression,maintenance-or-retirement-review,hold,2026-09-08,The site does not yet have enough search volume to justify rollout-period content changes; decide from the Day-30 cohort gate.
